,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS,DATE
0,1610612737,Atlanta Hawks,8,2,6,0.25,48.0,39.4,88.6,0.444,13.0,36.8,0.354,17.5,24.9,0.704,9.3,35.8,45.0,24.6,19.0,7.8,5.8,5.0,24.5,24.5,109.3,-11.3,5,22,24,23,11,24,23,20,5,3,17,17,14,26,24,12,16,12,30,15,15,10,25,6,20,29,10,Atlanta Hawks,11012018
1,1610612738,Boston Celtics,8,6,2,0.75,48.0,37.8,89.6,0.421,12.6,36.3,0.348,16.1,21.1,0.763,10.3,38.4,48.6,23.9,13.8,6.1,4.6,3.3,23.0,22.3,104.3,4.8,5,5,5,5,11,29,19,28,7,5,21,24,26,16,18,4,7,16,4,25,24,2,18,17,27,9,10,Boston Celtics,11012018
2,1610612751,Brooklyn Nets,8,3,5,0.375,48.6,39.8,87.5,0.454,13.6,35.8,0.381,15.1,20.6,0.733,10.5,34.0,44.5,25.0,17.1,5.9,4.9,5.0,21.9,20.4,108.3,-3.9,5,18,19,20,4,22,24,16,3,6,7,28,27,23,15,20,19,9,28,27,23,10,9,27,23,21,10,Brooklyn Nets,11012018
3,1610612766,Charlotte Hornets,9,4,5,0.444,48.0,41.7,91.2,0.457,12.8,35.2,0.363,18.4,22.6,0.818,10.4,34.1,44.6,24.7,12.4,6.3,6.8,7.1,21.3,22.1,114.6,4.9,1,11,19,17,11,11,15,14,6,8,13,15,19,6,16,19,18,11,2,23,4,29,8,18,11,8,10,Charlotte Hornets,11012018
4,1610612741,Chicago Bulls,8,2,6,0.25,48.6,40.5,87.4,0.464,12.0,30.5,0.393,16.9,23.0,0.734,8.0,33.5,41.5,23.9,14.5,6.3,5.0,6.6,21.9,19.0,109.9,-8.5,5,22,24,23,4,16,25,12,11,20,5,23,18,22,29,21,26,16,14,24,21,28,9,30,19,24,10,Chicago Bulls,11012018
5,1610612739,Cleveland Cavaliers,8,1,7,0.125,48.0,39.9,89.3,0.447,7.6,22.4,0.341,20.3,24.6,0.822,13.4,29.9,43.3,20.5,14.6,7.9,1.8,5.6,22.5,21.3,107.6,-9.3,5,27,30,30,11,19,20,19,30,28,22,11,16,5,2,29,23,27,16,13,30,19,14,23,24,25,10,Cleveland Cavaliers,11012018
6,1610612742,Dallas Mavericks,8,2,6,0.25,48.6,40.9,91.3,0.448,12.3,36.4,0.337,17.4,23.3,0.747,10.9,32.8,43.6,24.0,16.5,7.0,5.1,4.3,21.0,25.3,111.4,-5.3,5,22,24,23,4,14,14,17,8,4,23,19,17,20,13,23,22,15,25,19,19,4,4,4,17,23,10,Dallas Mavericks,11012018
7,1610612743,Denver Nuggets,8,7,1,0.875,48.6,42.0,90.8,0.463,8.5,28.0,0.304,20.0,26.3,0.762,12.6,36.3,48.9,24.5,13.9,9.6,6.0,5.4,21.3,24.1,112.5,8.9,5,2,1,2,4,10,16,13,28,25,29,12,10,17,4,8,5,13,6,4,13,16,7,9,14,3,10,Denver Nuggets,11012018
8,1610612765,Detroit Pistons,7,4,3,0.571,49.4,40.1,92.7,0.433,10.4,32.3,0.323,20.3,26.7,0.759,12.6,36.1,48.7,19.1,14.3,5.0,4.3,4.6,24.3,24.4,111.0,-1.6,21,11,9,11,1,18,6,25,21,13,26,9,9,18,5,9,6,30,13,30,25,7,24,7,18,18,10,Detroit Pistons,11012018
9,1610612744,Golden State Warriors,9,8,1,0.889,48.0,46.7,89.1,0.524,13.3,31.9,0.418,18.3,22.6,0.813,9.6,36.0,45.6,30.7,15.3,8.8,5.8,2.8,23.6,21.1,125.0,13.1,1,1,1,1,11,2,21,1,4,14,1,16,19,7,23,10,15,1,22,6,14,1,22,24,1,2,10,Golden State Warriors,11012018
10,1610612745,Houston Rockets,6,1,5,0.167,48.0,38.3,93.0,0.412,13.8,41.5,0.333,15.3,21.8,0.702,12.2,29.8,42.0,21.0,14.0,8.5,6.3,5.5,23.5,20.5,105.8,-10.5,29,27,19,27,11,26,5,29,2,1,24,27,25,27,6,30,25,25,8,8,7,18,21,26,26,27,10,Houston Rockets,11012018
11,1610612754,Indiana Pacers,8,5,3,0.625,48.0,43.5,86.0,0.506,9.3,22.3,0.416,12.5,18.6,0.671,8.8,31.6,40.4,23.4,14.0,8.4,5.5,5.4,20.9,19.6,108.8,6.1,5,8,9,10,11,6,26,2,25,30,2,30,30,29,26,28,29,20,8,9,16,16,3,29,22,6,10,Indiana Pacers,11012018
12,1610612746,LA Clippers,8,4,4,0.5,48.0,40.6,85.9,0.473,9.1,24.3,0.376,24.9,30.0,0.829,9.1,37.4,46.5,21.4,16.6,5.8,6.3,6.3,24.8,25.8,115.3,3.5,5,11,13,14,11,15,27,9,26,27,10,1,2,3,25,5,10,23,26,28,9,27,26,2,9,11,10,LA Clippers,11012018
13,1610612747,Los Angeles Lakers,8,3,5,0.375,48.6,47.4,95.8,0.495,10.5,30.1,0.349,15.8,22.0,0.716,10.3,34.3,44.5,26.4,14.8,9.3,6.1,6.0,23.8,21.6,121.0,-0.1,5,18,19,20,4,1,1,4,19,21,20,26,23,25,18,17,19,4,17,5,11,21,23,19,3,16,10,Los Angeles Lakers,11012018
14,1610612763,Memphis Grizzlies,6,4,2,0.667,48.0,36.0,82.7,0.435,10.7,29.0,0.368,21.0,27.2,0.773,7.2,32.5,39.7,23.7,13.7,10.8,3.2,5.2,22.5,23.2,103.7,3.7,29,11,5,8,11,30,30,23,18,22,12,7,7,14,30,25,30,19,3,2,27,15,14,12,28,10,10,Memphis Grizzlies,11012018
