,HOME_TEAM_NAME,HOME_DATE,HOME_W_PCT,HOME_FG_PCT,HOME_FG3_PCT,HOME_OREB,HOME_DREB,HOME_AST,HOME_TOV,HOME_STL,HOME_BLK,HOME_PTS,AWAY_TEAM_NAME,AWAY_DATE,AWAY_W_PCT,AWAY_FG_PCT,AWAY_FG3_PCT,AWAY_OREB,AWAY_DREB,AWAY_AST,AWAY_TOV,AWAY_STL,AWAY_BLK,AWAY_PTS,Home Team Wins
0,Brooklyn Nets,11022018,0.375,0.45399999999999996,0.381,10.5,34.0,25.0,17.1,5.9,4.9,108.3,Houston Rockets,11022018,0.16699999999999998,0.41200000000000003,0.33299999999999996,12.2,29.8,21.0,14.0,8.5,6.3,105.8,False
1,Chicago Bulls,11022018,0.25,0.46399999999999997,0.39299999999999996,8.0,33.5,23.9,14.5,6.3,5.0,109.9,Indiana Pacers,11022018,0.625,0.506,0.41600000000000004,8.8,31.6,23.4,14.0,8.4,5.5,108.8,False
2,Dallas Mavericks,11022018,0.25,0.44799999999999995,0.337,10.9,32.8,24.0,16.5,7.0,5.1,111.4,New York Knicks,11022018,0.25,0.431,0.36200000000000004,11.3,31.8,19.5,14.0,7.3,2.9,106.0,False
3,Golden State Warriors,11022018,0.889,0.524,0.418,9.6,36.0,30.7,15.3,8.8,5.8,125.0,Minnesota Timberwolves,11022018,0.5,0.44799999999999995,0.381,12.1,31.8,23.0,14.0,9.8,6.9,116.0,True
4,Phoenix Suns,11022018,0.14300000000000002,0.455,0.324,8.4,32.6,25.1,18.3,6.9,2.6,103.4,Toronto Raptors,11022018,0.875,0.48100000000000004,0.35200000000000004,10.8,36.5,25.6,13.9,8.1,6.1,117.4,False
5,Utah Jazz,11022018,0.5710000000000001,0.47,0.376,9.7,35.0,23.7,16.1,8.0,5.3,114.3,Memphis Grizzlies,11022018,0.667,0.435,0.368,7.2,32.5,23.7,13.7,10.8,3.2,103.7,False
6,Washington Wizards,11022018,0.14300000000000002,0.433,0.32299999999999995,8.4,32.9,21.1,14.6,7.9,7.0,111.9,Oklahoma City Thunder,11022018,0.429,0.428,0.265,13.9,34.4,20.3,14.9,11.0,6.1,109.0,False
7,Atlanta Hawks,11032018,0.25,0.444,0.354,9.3,35.8,24.6,19.0,7.8,5.8,109.3,Miami Heat,11032018,0.429,0.436,0.354,13.0,36.9,21.7,15.9,6.7,6.9,111.7,True
8,Chicago Bulls,11032018,0.222,0.46399999999999997,0.396,8.3,33.3,24.9,14.4,5.8,5.2,109.3,Houston Rockets,11032018,0.28600000000000003,0.423,0.34,12.0,29.9,21.1,13.3,7.9,6.9,107.7,False
9,Charlotte Hornets,11032018,0.444,0.457,0.363,10.4,34.1,24.7,12.4,6.3,6.8,114.6,Cleveland Cavaliers,11032018,0.125,0.447,0.341,13.4,29.9,20.5,14.6,7.9,1.8,107.6,True
10,Denver Nuggets,11032018,0.875,0.46299999999999997,0.304,12.6,36.3,24.5,13.9,9.6,6.0,112.5,Utah Jazz,11032018,0.5,0.47,0.377,9.8,34.3,23.4,15.9,7.4,5.3,112.5,True
11,Indiana Pacers,11032018,0.667,0.502,0.397,8.8,31.8,23.1,13.7,8.3,5.9,108.6,Boston Celtics,11032018,0.75,0.42100000000000004,0.348,10.3,38.4,23.9,13.8,6.1,4.6,104.3,True
12,Philadelphia 76ers,11032018,0.556,0.439,0.35,11.4,39.2,27.4,15.0,6.4,6.4,113.6,Detroit Pistons,11032018,0.5710000000000001,0.433,0.32299999999999995,12.6,36.1,19.1,14.3,5.0,4.3,111.0,True
13,Portland Trail Blazers,11032018,0.75,0.473,0.39399999999999996,10.4,40.0,20.9,15.1,5.5,5.3,118.9,Los Angeles Lakers,11032018,0.375,0.495,0.349,10.3,34.3,26.4,14.8,9.3,6.1,121.0,False
14,San Antonio Spurs,11032018,0.7140000000000001,0.466,0.391,11.7,34.3,24.3,12.0,7.3,3.9,114.6,New Orleans Pelicans,11032018,0.5,0.48100000000000004,0.36,12.1,34.1,26.6,14.3,8.0,5.1,121.9,True
15,Brooklyn Nets,11042018,0.33299999999999996,0.45899999999999996,0.38799999999999996,10.3,33.4,24.7,16.6,5.8,4.8,108.6,Philadelphia 76ers,11042018,0.6,0.43700000000000006,0.34700000000000003,10.6,39.5,26.8,15.3,6.9,6.1,113.1,True
16,Los Angeles Lakers,11042018,0.444,0.498,0.35100000000000003,10.1,35.0,25.7,15.3,9.2,6.7,120.2,Toronto Raptors,11042018,0.889,0.483,0.353,10.2,36.1,26.0,13.9,8.4,6.6,116.2,False
17,Milwaukee Bucks,11042018,0.875,0.48,0.377,9.9,44.4,26.0,16.8,6.1,6.6,119.1,Sacramento Kings,11042018,0.667,0.503,0.4,10.1,35.9,25.6,15.2,8.6,4.9,119.8,True
18,Phoenix Suns,11042018,0.125,0.45299999999999996,0.32299999999999995,8.9,33.1,24.5,18.0,6.4,2.8,102.8,Memphis Grizzlies,11042018,0.7140000000000001,0.445,0.385,7.4,32.1,23.6,13.3,10.6,3.1,104.6,True
19,Portland Trail Blazers,11042018,0.667,0.467,0.366,11.0,39.3,20.8,15.0,6.0,5.2,117.9,Minnesota Timberwolves,11042018,0.444,0.439,0.366,11.7,31.7,23.2,13.0,9.6,6.6,114.1,True
20,San Antonio Spurs,11042018,0.75,0.466,0.385,11.3,34.4,24.9,11.6,7.4,3.9,113.9,Orlando Magic,11042018,0.25,0.414,0.3,11.1,34.1,24.4,13.4,7.4,6.0,99.9,False
21,Washington Wizards,11042018,0.125,0.44299999999999995,0.32,8.1,31.8,21.9,15.1,7.6,6.6,111.8,New York Knicks,11042018,0.33299999999999996,0.44299999999999995,0.349,11.1,31.6,20.2,13.8,7.9,3.0,107.3,True
